14.637682	39.409143	Monologue
40.816612	80.042905	Monologue
81.070237	120.766488	Monologue
122.485024	124.557994	Monologue
126.144445	128.068648	Monologue
138.494989	183.958255	Monologue
193.597415	201.090245	Monologue
202.781153	221.311611	Monologue
222.133857	226.086100	Monologue
228.052066	244.341499	Monologue
244.442247	246.588317	Monologue
247.151626	251.110134	Monologue
252.640756	274.650000	Monologue
300.652385	368.337788	Monologue
370.163328	491.066072	Monologue
491.488313	505.703754	Poetry Recitation
506.548235	606.921815	Poetry Recitation
616.612342	617.316077	Monologue 
624.212677	858.003769	Poetry Recitation
867.282642	939.345075	Monologue
939.345075	1175.799933	Poetry Recitation
